,Property ID,Latitude,Longitude
997200,ha-1437151,20.96583677,-156.6795918
997201,ha-1437366,20.92328865,-156.69693595
997202,ha-1437543,21.87683127,-159.45555849
997203,ha-1437953,21.32853317,-158.12081827
997204,ha-1438046,19.59421,-155.960496
997205,ha-1438163,21.2729457,-157.8216063
997206,ha-1438173,21.18878487,-157.24446191
997207,ha-1438468,20.712878,-156.44428100000005
997208,ha-1438938,21.30448527,-157.84540856
997209,ha-1439032,20.7164702,-156.4445304
997210,ha-143932,21.274738,-157.821346
997211,ha-1439557,21.2766447,-157.82315559999995
997212,ha-1439698,20.75867858,-156.46288756
997213,ha-1439709,21.46686789,-158.21293381
997214,ha-1439814,21.4621731,-158.2125217
997215,ha-1439841,20.78536,-156.4673
997216,ha-1439844,20.7192,-156.44756
997217,ha-1439850,21.38325043,-157.70791822
997218,ha-1439972,20.944389,-156.690719
997219,ha-1439973,21.332952,-158.120152
997220,ha-1439974,20.945706,-156.690116
997221,ha-1440016,21.690663,-158.0197
997222,ha-1440018,19.572762,-155.967444
997223,ha-1440238,20.9750473,-156.6785364
997224,ha-1440419,21.2871808,-157.83811640000005
997225,ha-1440471,21.32783713,-158.12216002
997226,ha-1440475,19.6205724,-155.98598
997227,ha-1440497,19.59253,-155.95514
997228,ha-1440597,21.28102,-157.825749
997229,ha-14408,20.6893424987793,-156.435928344727
997230,ha-1440852,19.62168735,-155.98637924
997231,ha-144116ha,20.71319014,-156.44500566
997232,ha-1441388,21.47935734,-158.2233678
997233,ha-1441417,20.69781833,-156.43840376
997234,ha-1441475,21.33306361,-158.12026272
997235,ha-1441491,20.91327179,-156.69518549
997236,ha-1441520,20.23797884,-155.82825552
997237,ha-1441524,21.87914598,-159.45695254
997238,ha-1441562,21.87653287484149,-159.455123183494
997239,ha-1441642,20.75249585,-156.4547855
997240,ha-1441751,21.41907246,-157.78800814
997241,ha-1442040,21.38818568,-157.73184797
997242,ha-1442419,21.2807817,-157.8271558
997243,ha-1442476,21.25885863,-157.82024714
997244,ha-1442891,19.53709151,-154.86024879
997245,ha-1443009,21.69939233,-157.99593523
997246,ha-144310,20.7155315,-156.44569545
997247,ha-1443170,20.97034477,-156.68189143
997248,ha-1443349,19.531398,-154.921084
997249,ha-144345,19.47889,-155.93167
997250,ha-1443568,21.283959,-157.829835
997251,ha-1443662,21.274505,-157.807168
997252,ha-1444123,19.6212656,-155.98655459999995
997253,ha-1444344,19.630586,-155.98716000000005
997254,ha-1444582,21.34261256,-158.12479859
997255,ha-144477,20.9563577,-156.6857175
997256,ha-1444807,21.871319,-159.443624
997257,ha-144481,21.27633062,-157.82530412
997258,ha-1444854,20.0057979235742,-155.81316630094102
997259,ha-1445022,19.5837,-154.950871
997260,ha-1445157,20.91214305,-156.69299269
997261,ha-1445166,21.284136,-157.838396
997262,ha-1445620,22.2265293,-159.4804364
997263,ha-14458,20.9508107883048,-156.688759402516
997264,ha-144584,22.21847725,-159.47093201
997265,ha-1446400,20.9199353,-156.3784445
997266,ha-1446490,19.51984244,-155.02997667
997267,ha-1446573,21.87262749,-159.44732236
997268,ha-1446599,20.71765004023311,-156.446233500803
997269,ha-1446643,21.292998,-157.711268
997270,ha-1446717,19.95014614,-155.77944632
997271,ha-144705ha,19.9225785,-155.87660449999996
997272,ha-1447104,21.46613444,-157.83854208
997273,ha-1447214,21.46796947,-157.8397755
997274,ha-1447294,21.28153265,-157.83553394
997275,ha-144744,20.68532787,-156.43515866
997276,ha-1447630,20.7256508,-156.4464531
997277,ha-1447665,19.6060106,-155.97521830000005
997278,ha-1447736,20.96025607,-156.68412535
997279,ha-1447938,21.285516,-157.839552
997280,ha-144806,20.7647438049316,-156.458389282227
997281,ha-1448165,19.55981091,-154.89177855
997282,ha-1448300,19.597769,-154.9382709
997283,ha-1448353,19.48310195,-155.90780911
997284,ha-1448355,19.915515,-155.8787
997285,ha-1448412,19.52226066,-154.99753295
997286,ha-1448728,21.2927144,-157.70787919999995
997287,ha-1448779,21.38649605,-157.71258047
997288,ha-1448796,19.63897,-155.99373
997289,ha-1449360,20.93905315,-156.69238475
997290,ha-1449433,21.299042,-157.703003
997291,ha-1449518,21.32623846,-157.68017963
997292,ha-1449588,20.94972998,-156.68839780000005
997293,ha-1449687,19.569891,-155.95453700000004
997294,ha-1449953,20.93896551,-156.68952588
997295,ha-1450052,21.2828007,-157.8287086
997296,ha-1450102,21.6812776970205,-158.032720864847
997297,ha-1450140,21.480456,-158.203383
997298,ha-145021,20.7409706115723,-155.986221313477
997299,ha-1450230,21.39930396,-157.99187109
997300,ha-1450242,19.6372569,-155.9902947
997301,ha-1450467,22.01359873,-159.34424981
997302,ha-145052,20.96154594,-156.68157959
997303,ha-1450539,20.7230225,-156.44601699999996
997304,ha-1450541,20.7230225,-156.44601699999996
997305,ha-1450542,20.7230225,-156.44601699999996
997306,ha-1450543,20.7230225,-156.44601699999996
997307,ha-1450545,20.7230225,-156.44601699999996
997308,ha-1450550,19.678848,-155.16144599999996
997309,ha-1450594,21.48118978,-158.20184073
997310,ha-1450635,20.91436071,-156.6924004
997311,ha-1450675,21.2785001,-157.8330717
997312,ha-1450912,19.97410433,-155.22303217
997313,ha-1450929,19.9377779142132,-155.86270430000005
997314,ha-1450934,19.91841,-155.88127
997315,ha-1451045,21.8843446,-159.46376
997316,ha-1451308,21.2819005,-157.82687443
997317,ha-1451509,20.7300249,-156.451005
997318,ha-1451519,22.05827029,-159.31584478
997319,ha-145153ha,20.7592315,-156.4583524
997320,ha-1451656,21.638453,-157.9191285
997321,ha-1451671,21.39751594,-157.99214388
997322,ha-1452091,19.428001100000003,-155.21775831
997323,ha-1452094,21.37904162,-157.72645286
997324,ha-145210,19.5726337,-155.9668488
997325,ha-1452134,19.43073682,-154.94126485
997326,ha-1452366,21.62139513,-157.92389612
997327,ha-145241,20.93618943,-156.69117184
997328,ha-1452610,19.61396275,-155.95659730000003
997329,ha-1452750,22.22285007,-159.47873585
997330,ha-1452752,22.2236236,-159.48124019999997
997331,ha-1452805,21.96078384,-159.35105691
997332,ha-1452939,21.28187602,-157.72770455
997333,ha-1453027,19.91696,-155.88048
997334,ha-145307,21.27473831,-157.8213501
997335,ha-145310ha,20.74805520176369,-156.45668485582
997336,ha-1453187,20.945309,-156.690436
997337,ha-1453581,21.28907289,-157.83597527
997338,ha-1453627,19.5884556,-154.9675336
997339,ha-1453760,21.31280186,-157.98907337
997340,ha-1453991,21.287031,-157.8327
997341,ha-145429,20.9360032,-156.6900114
997342,ha-145438ha,21.5441367,-157.84164203
997343,ha-1454646,20.075336,-155.85241200000004
997344,ha-1454833,21.27515267,-157.83280555
997345,ha-1455279,21.480456,-158.203383
997346,ha-145556,22.0611761582687,-159.31998887791
997347,ha-1455631,21.65287189,-158.06249623
997348,ha-1455636,20.945706,-156.690116
997349,ha-1455637,20.946207,-156.69042199999996
997350,ha-1455804,19.949383095035103,-155.851283468509
997351,ha-1455835,22.219096,-159.494809
997352,ha-1455931,19.21404158,-155.88315952
997353,ha-1455980,21.8823487,-159.4822686
997354,ha-1455982,21.88382,-159.4860459
997355,ha-1455983,21.8851392,-159.4742746
997356,ha-1456097,21.39359169,-157.71810924
997357,ha-1456225,21.0733057494178,-156.792977936771
997358,ha-1456287,21.88552300000001,-159.478169
997359,ha-1456333,21.274831,-157.821087
997360,ha-1456608,21.33713671,-158.10818547
997361,ha-1457075,20.91411128,-156.69657949999996
997362,ha-1457278,20.93328604,-156.69005941
997363,ha-1457289,20.93593729,-156.68962625
997364,ha-1457302,20.87524592,-156.67743125
997365,ha-1457310,20.87532903,-156.67755561
997366,ha-1457324,20.95292879,-156.68344646
997367,ha-1457326,21.0030754,-156.66385106
997368,ha-1457359,20.96149882,-156.68304989
997369,ha-1457360,20.96165263,-156.685385
997370,ha-1457714,20.93141719,-156.69196859
